countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.47,0.73,0.98,1.33,1.68,1.41,1.2,1.16,1.29,0.82,1.46,3.22,1.82,0.99,0.79,0.49,0.59,0.48,0.32,0.59,0.87,0.02,0.04,0.01,0.04,0.05
ROMANIA,0.01,0.01,0.03,0.08,0.06,0.04,0.01,0.07,0.08,0.02,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.01,,,0.06,,,0.0
RUSSIA,1.03,1.53,1.41,1.01,1.63,1.48,1.27,2.77,2.43,1.9,1.2,0.92,1.41,0.43,1.23,1.81,1.04,0.86,1.86,1.19,1.02,0.79,1.25,2.67,1.72,4.73
RWANDA,0.13,0.3,0.19,0.1,0.04,0.02,0.0,0.0,0.01,0.08,0.04,,0.05,0.02,0.03,0.0,,,0.0,0.02,,0.01,0.0,0.0,,
SAUDI ARAB,4.65,4.15,3.47,3.76,3.79,3.67,4.39,8.14,4.89,3.41,2.63,3.22,3.61,2.13,1.87,1.28,0.96,0.79,0.68,0.72,0.49,0.41,0.38,0.99,0.51,0.23
SERBIA,,0.0,0.0,,0.01,0.0,0.0,0.01,0.0,,,,,,,,,,,,,,,,,
SENEGAL,0.21,0.21,0.43,0.27,0.14,0.08,0.2,0.17,,0.03,0.01,0.02,0.18,0.0,0.13,,0.01,0.01,,0.0,0.0,,,,,
SEYCHELLES,0.05,0.06,0.03,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,,0.0,0.01,0.0,0.01,0.01,0.01,
SIERRA LEONE,0.09,0.25,0.13,0.15,0.07,0.16,0.08,0.03,0.02,0.08,0.04,0.11,0.1,0.01,0.01,0.0,,0.0,0.03,,0.0,0.0,,,,
SLOVAK REP,0.01,0.01,0.04,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,,,,,,,,0.0,,,,,0.02,
SINGAPORE,9.49,9.45,5.1,12.09,13.08,8.46,6.95,6.37,4.74,7.11,6.75,5.57,3.75,3.47,2.45,1.06,0.36,0.42,0.32,0.96,0.63,0.72,0.35,0.31,0.48,1.39
REUNION,0.03,0.04,0.02,0.03,0.04,0.04,0.04,0.04,0.08,0.07,0.04,0.06,0.05,0.05,0.03,0.04,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0
SLOVENIA,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.02,0.02,0.02,0.0,0.01,0.0,,,0.0,0.01,,0.0,,,,0.0,0.0,
SOMALIA,0.89,1.38,0.82,0.51,0.51,0.53,0.16,0.28,0.01,0.04,0.02,0.02,0.0,0.34,0.46,0.31,0.17,0.08,0.07,0.03,0.05,,0.0,,0.0,0.0
SOUTH AFRICA,1.21,1.71,1.38,2.0,2.02,1.25,1.58,1.76,2.13,3.6,2.64,6.34,4.49,2.28,1.54,0.62,0.63,0.58,0.39,0.83,0.28,0.26,0.19,0.25,0.27,0.41
SPAIN,0.22,0.27,0.17,0.46,0.38,0.56,0.36,0.37,0.44,0.62,0.12,0.05,0.06,0.01,0.08,0.09,0.06,0.01,0.03,0.02,0.01,0.13,0.01,0.06,0.07,0.15
SRI LANKA DSR,0.62,2.68,3.28,4.09,4.87,6.46,8.4,5.8,4.07,4.52,3.84,5.81,6.02,4.51,3.96,3.1,3.18,2.49,2.3,2.57,1.81,4.32,1.49,0.72,0.91,0.67
ST KITT N A,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,
ST LUCIA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,,,0.0,0.0,0.0,0.0,,,,,,,,
ST VINCENT,0.0,,,0.0,0.0,,0.0,,0.01,,,,,,,,,,,0.01,,,,,,
SUDAN,0.54,0.95,0.61,0.87,0.36,0.61,0.61,0.61,0.7,0.67,1.36,1.57,1.06,0.85,0.77,0.62,0.71,0.38,0.58,0.47,0.32,1.38,0.36,0.51,0.42,0.04
SOUTH SUDAN,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SURINAME,0.03,0.02,0.02,0.06,0.08,0.06,0.06,0.05,0.07,0.09,0.17,0.07,0.04,0.04,0.07,0.05,0.08,0.03,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0.05
SOLOMON IS,0.01,0.01,0.01,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,
QATAR,2.98,2.87,1.61,2.68,3.8,1.64,0.79,0.96,0.73,0.7,0.47,0.47,0.55,0.29,0.43,0.2,0.12,0.16,0.04,0.06,0.03,0.02,0.02,0.02,0.02,0.01
